# Phases 	 Time 	 Phased RV 	 Phased RV Error 	 Model
0.3962600860 2458872.0164514272 -14.3296987348 5.8730650590 -13.8303375680 HPF
0.2952703444 2458893.9459689846 -16.5426391064 17.3829580113 -21.3587620138 HPF
-0.4316098853 2458894.9487395976 38.3317524545 11.5910031983 7.1161590942 HPF
-0.4509303117 2458905.9132500323 -15.5628012506 15.7243475134 0.4154022527 HPF
0.0015686917 2458918.8788808924 -17.4389384190 28.0745505856 0.2134253708 HPF
-0.1237231365 2458925.8485978870 27.2712905128 18.3935282433 17.9981222620 HPF
-0.3116796025 2458928.8675804213 36.9466782732 9.7458357228 20.3859743356 HPF
-0.4116192902 2458950.8007870140 7.6999899084 14.5036284342 10.0540562063 HPF
-0.1824237099 2458973.9616460185 25.8854663264 7.1373821993 22.4400613771 HPF
-0.4020482634 2459002.8867292693 9.3134829147 9.8238801810 11.2683197213 HPF
-0.3584543685 2459032.7918772888 10.8735115062 6.3727471915 16.2236167995 HPF
-0.2841411862 2459036.7859558472 31.7396440608 6.1745463270 22.1544062381 HPF
0.4572452764 2459065.7022815291 -6.6294503639 5.2847407201 -2.2666168969 HPF
-0.4096876118 2459084.6501677865 9.9392652030 4.9318871548 10.3451790065 HPF
0.2003113528 2459090.6362277200 -18.0899657115 4.9340742219 -21.7517079495 HPF
0.4600889451 2459091.6271613287 -0.2151830636 5.1525956331 -5.7200151167 HPF
-0.4546739237 2459095.6225088304 16.8195166402 7.0877487352 4.0678052954 HPF
-0.4304644063 2459237.0016899970 0.4205161347 6.2804004700 7.7125881327 HPF
-0.0141339609 2459245.9850697857 3.4051839696 6.5168274969 2.7311231711 HPF
0.2547652359 2459246.9848901434 -23.3106606180 5.0217790262 -22.5050912308 HPF
-0.1381120583 2459252.9597098902 11.1560829905 9.5987274578 19.5572871902 HPF
0.1539908012 2459268.9169956404 -28.9697715584 6.7170222724 -19.2291101166 HPF
0.4223061524 2459269.9146091701 -23.0402767146 9.1944241416 -11.0708537344 HPF
-0.3080655416 2459270.9169308306 13.0950346752 8.1569490343 20.6851819450 HPF
0.0326678564 2459275.9013822209 1.5606663165 7.4671517576 -4.6344292132 HPF
-0.4323292629 2459277.8900878266 -5.8791599557 7.5851844654 7.4813254338 HPF
0.2512815826 2459287.8673033426 -28.9860326744 9.7071307758 -22.5374219266 HPF
-0.2125391030 2459289.8606099579 21.1867146810 8.6963195870 23.5903892756 HPF
-0.4079249338 2459292.8520496590 12.6298579388 4.8971728444 10.5450960573 HPF
-0.1397750388 2459293.8490092121 17.5234016909 5.0388576008 19.7289347464 HPF
0.1282316978 2459294.8454053444 -10.2038013498 7.6165565054 -17.0216890395 HPF
-0.2637625490 2459300.8235077988 21.0427340913 9.3621600891 23.0816403788 HPF
0.3478568567 2459306.8151077358 -18.5053585071 7.6309149825 -18.2392365745 HPF
0.1765605858 2459324.7672066623 -21.8507806782 5.9480519243 -20.7378789424 HPF
-0.0172818507 2459327.7642171560 12.4421038654 9.8095044546 3.2374493839 HPF
-0.4737271641 2459329.7622504570 0.6766652129 7.4213096256 1.2399309230 HPF
-0.4201439600 2459329.9841543389 2.4906769717 6.7573094226 9.0301871807 HPF
0.1890861459 2459335.9669364849 -22.7953174817 6.2726562899 -21.3832849154 HPF
0.0046567494 2459342.7168231923 8.6904025198 11.2764781470 -0.2478123867 HPF
0.0671951141 2459342.9493151959 8.9066439092 8.5057668935 -9.7474277180 HPF
0.3388150660 2459343.9591653086 -48.8531904185 17.8106425033 -18.8858772143 HPF
-0.1889465471 2459345.7148788683 25.7897301322 7.9951956454 22.9253302406 HPF
-0.3217814328 2459348.9386818926 12.6422584923 5.4331122417 19.5922643426 HPF
-0.3123837305 2459352.6913045510 13.8295289353 5.8524872854 20.3323901406 HPF
-0.0448518131 2459353.6859307261 -8.0223972663 6.2521203283 7.6037256535 HPF
-0.1658038355 2459360.6718458831 22.5663696508 7.9615916151 21.7366080092 HPF
0.0373880648 2459368.8627566174 -1.8113747656 10.9370013066 -5.3898837167 HPF
0.3083626743 2459369.8700871291 -21.0901017790 6.6235329008 -20.7804077890 HPF
-0.3997914525 2459385.8258477412 18.6721454882 8.3946928706 11.4991717474 HPF
-0.3016647881 2459404.7793969298 20.3832232610 5.1592424325 21.0603091700 HPF
-0.0318209651 2459405.7825727239 2.7977979600 4.9281103501 5.6046083044 HPF
-0.0587947351 2459431.7066793488 10.4859731235 5.5703008709 9.7986508131 HPF
-0.2306194752 2459449.6567067318 27.5310231755 5.3308067288 23.6731634410 HPF
0.3051699610 2459451.6486544330 -12.0885594714 6.1876403215 -20.9022574197 HPF
-0.0150326741 2459461.6115047322 15.1083375898 8.2644279561 2.9314581800 HPF
0.3283071389 2459466.6055554226 -4.1769617739 7.2155829508 -19.5784532086 HPF
0.1363603008 2459469.6096134535 -20.9572339007 5.9871002124 -17.8254942992 HPF
-0.0581861556 2459472.6040293290 6.4238013154 6.2704517160 9.7436377635 HPF
0.3345069946 2459593.0322066168 -8.7262954966 8.3393898183 -19.1139446933 HPF
-0.2503853074 2459602.0109558757 26.1678766024 6.0154752938 23.2733700813 HPF
0.0144796806 2459602.9957202110 1.4333947640 7.5755083928 -1.7713432010 HPF
0.2838708098 2459603.9972003298 -32.8012484278 7.0770499414 -21.7069302992 HPF
-0.1775445939 2459605.9996362207 32.2075629832 6.2659979078 22.3594703339 HPF
0.0876243039 2459606.9854479274 -21.3347065457 7.6439559368 -12.4665212363 HPF
0.1857252297 2459625.9390613530 -29.7141104810 6.4757023713 -21.1754536853 HPF
