# Phases 	 model 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
-0.3269726973 	 19.0381538409 	 16.9093443515 	 20.8237860809 	 14.1428061263 	 22.4713486822 	 11.6361479561 	 23.7039789723
-0.3268526853 	 19.0476938402 	 16.9214098447 	 20.8320219801 	 14.1538638274 	 22.4821707460 	 11.6514731241 	 23.7160569836
-0.3267326733 	 19.0578961036 	 16.9333921723 	 20.8395512631 	 14.1653507198 	 22.4910350194 	 11.6643463724 	 23.7281228269
-0.3266126613 	 19.0693616819 	 16.9449767775 	 20.8489617864 	 14.1796309708 	 22.5044922470 	 11.6772180404 	 23.7362241247
-0.3264926493 	 19.0776844780 	 16.9568447417 	 20.8589798790 	 14.1939073946 	 22.5173869629 	 11.6900881453 	 23.7420919752
-0.3263726373 	 19.0879286112 	 16.9677092422 	 20.8676796863 	 14.2036417407 	 22.5266072864 	 11.7029566512 	 23.7511602293
-0.3262526253 	 19.0975122139 	 16.9808522169 	 20.8770859943 	 14.2103009961 	 22.5361790056 	 11.7166666577 	 23.7622893892
-0.3261326133 	 19.1068320967 	 16.9913155818 	 20.8840542669 	 14.2213823318 	 22.5449042168 	 11.7336757198 	 23.7727788369
-0.3260126013 	 19.1150387622 	 17.0026343873 	 20.8910385073 	 14.2321115831 	 22.5540324315 	 11.7506862005 	 23.7793327220
-0.3258925893 	 19.1254880030 	 17.0154819593 	 20.8989560879 	 14.2541586945 	 22.5647981942 	 11.7676981247 	 23.7858738395
-0.3257725773 	 19.1365042682 	 17.0274472749 	 20.9065891869 	 14.2762074233 	 22.5770857350 	 11.7847114465 	 23.7919856197
-0.3256525653 	 19.1465332711 	 17.0388690048 	 20.9144178813 	 14.2877639692 	 22.5836279438 	 11.8017261731 	 23.7975375575
-0.3255325533 	 19.1562800254 	 17.0536806933 	 20.9240556047 	 14.2963602828 	 22.5905009540 	 11.8187423117 	 23.8066760941
-0.3254125413 	 19.1656651169 	 17.0669813271 	 20.9339943541 	 14.3130003086 	 22.6014128291 	 11.8357598162 	 23.8180677632
-0.3252925293 	 19.1754221984 	 17.0776081887 	 20.9423128699 	 14.3300466718 	 22.6143791798 	 11.8527786938 	 23.8294445756
-0.3251725173 	 19.1849549947 	 17.0883349443 	 20.9518697311 	 14.3480335701 	 22.6225435033 	 11.8697989516 	 23.8408065230
-0.3250525053 	 19.1942083829 	 17.0993245637 	 20.9614219886 	 14.3646776770 	 22.6349682464 	 11.8868205436 	 23.8521535969
-0.3249324932 	 19.2050733982 	 17.1116002053 	 20.9692322861 	 14.3777098061 	 22.6417645750 	 11.9038434945 	 23.8634857892
-0.3248124812 	 19.2154541245 	 17.1224793765 	 20.9781414560 	 14.3907359972 	 22.6502690171 	 11.9208677582 	 23.8748031032
-0.3246924692 	 19.2250024377 	 17.1341670816 	 20.9873170681 	 14.4037562371 	 22.6589770638 	 11.9378933417 	 23.8861055071
-0.3245724572 	 19.2350567060 	 17.1442233224 	 20.9948478346 	 14.4167704985 	 22.6697787638 	 11.9549202522 	 23.8973930044
-0.3244524452 	 19.2436760538 	 17.1582632898 	 21.0022276501 	 14.4297787950 	 22.6780116572 	 11.9719484432 	 23.9072679437
-0.3243324332 	 19.2535767041 	 17.1676485085 	 21.0111788119 	 14.4445256695 	 22.6880443964 	 11.9889779397 	 23.9134076705
-0.3242124212 	 19.2627457601 	 17.1806384555 	 21.0205105652 	 14.4603834383 	 22.6967467358 	 12.0060086952 	 23.9195349113
-0.3240924092 	 19.2728149954 	 17.1943741990 	 21.0302732646 	 14.4762388538 	 22.7051366375 	 12.0208902994 	 23.9309797814
-0.3239723972 	 19.2821086886 	 17.2078470619 	 21.0373385818 	 14.4854765219 	 22.7137862976 	 12.0354347522 	 23.9415674752
-0.3238523852 	 19.2919553874 	 17.2189482513 	 21.0455365634 	 14.4957587280 	 22.7224721789 	 12.0499786200 	 23.9494017203
-0.3237323732 	 19.3009772230 	 17.2324657650 	 21.0539566645 	 14.5099833855 	 22.7311392466 	 12.0645219231 	 23.9572242646
-0.3236123612 	 19.3094315759 	 17.2450456027 	 21.0637965633 	 14.5206683227 	 22.7433270346 	 12.0790646208 	 23.9650351038
-0.3234923492 	 19.3184707067 	 17.2556383164 	 21.0711028582 	 14.5336282901 	 22.7520359169 	 12.0936067335 	 23.9728342340
-0.3233723372 	 19.3294279833 	 17.2674242977 	 21.0786862719 	 14.5465821704 	 22.7599906099 	 12.1081482204 	 23.9806216508
-0.3232523252 	 19.3389868785 	 17.2795713330 	 21.0888472024 	 14.5595299364 	 22.7679335175 	 12.1226891017 	 23.9883973502
-0.3231323132 	 19.3487339420 	 17.2929410042 	 21.0976323205 	 14.5748691326 	 22.7758646187 	 12.1372293369 	 23.9961613281
-0.3230123012 	 19.3580752726 	 17.3056412228 	 21.1062725179 	 14.5928012165 	 22.7858780876 	 12.1517689459 	 24.0039135804
-0.3228922892 	 19.3673270414 	 17.3179913729 	 21.1156506433 	 14.6107328151 	 22.7943490504 	 12.1663078882 	 24.0116540947
-0.3227722772 	 19.3763076858 	 17.3293484814 	 21.1226347028 	 14.6286639532 	 22.8021830027 	 12.1831168654 	 24.0193828833
-0.3226522652 	 19.3858501208 	 17.3410339716 	 21.1324891971 	 14.6465945996 	 22.8096744007 	 12.2000463217 	 24.0270999338
-0.3225322532 	 19.3943421274 	 17.3514739976 	 21.1417693094 	 14.6612120811 	 22.8172628069 	 12.2169749645 	 24.0348052422
-0.3224122412 	 19.4055772762 	 17.3626224440 	 21.1506095433 	 14.6735096635 	 22.8265470208 	 12.2339027417 	 24.0442835908
-0.3222922292 	 19.4145790009 	 17.3758779219 	 21.1594942628 	 14.6892090510 	 22.8358176257 	 12.2508296545 	 24.0557005240
-0.3221722172 	 19.4241937899 	 17.3864372941 	 21.1684607907 	 14.7044882033 	 22.8448996508 	 12.2677556864 	 24.0671023471
-0.3220522052 	 19.4340049432 	 17.3998243524 	 21.1755530825 	 14.7140499105 	 22.8518561301 	 12.2846808208 	 24.0754418870
-0.3219321932 	 19.4436985010 	 17.4080880138 	 21.1842514522 	 14.7253079118 	 22.8611163404 	 12.3016050410 	 24.0829260740
-0.3218121812 	 19.4522581649 	 17.4214877826 	 21.1923066638 	 14.7419396485 	 22.8697765729 	 12.3185283305 	 24.0880267010
-0.3216921692 	 19.4616759859 	 17.4333726717 	 21.2001787744 	 14.7564934264 	 22.8783376424 	 12.3354506724 	 24.0944748262
-0.3215721572 	 19.4721283858 	 17.4428317305 	 21.2087309849 	 14.7689290761 	 22.8866643012 	 12.3523720503 	 24.1066373563
-0.3214521452 	 19.4818061147 	 17.4559173632 	 21.2175002650 	 14.7827536275 	 22.8947808890 	 12.3692924649 	 24.1144025597
-0.3213321332 	 19.4911896309 	 17.4699403934 	 21.2264769296 	 14.7950315469 	 22.9020185045 	 12.3862118642 	 24.1221542887
-0.3212121212 	 19.4999419358 	 17.4811666924 	 21.2349275533 	 14.8093987193 	 22.9094224793 	 12.4031302491 	 24.1300879055
-0.3210921092 	 19.5095766312 	 17.4940927678 	 21.2419038721 	 14.8224912823 	 22.9198394134 	 12.4200476028 	 24.1376173007
-0.3209720972 	 19.5187956050 	 17.5032528444 	 21.2501065781 	 14.8376144202 	 22.9281002831 	 12.4369639085 	 24.1453285766
-0.3208520852 	 19.5278309941 	 17.5117836817 	 21.2582870229 	 14.8538858796 	 22.9363479915 	 12.4504844450 	 24.1530263718
-0.3207320732 	 19.5373986638 	 17.5239271553 	 21.2678529225 	 14.8701551908 	 22.9455578004 	 12.4618124244 	 24.1607106745
-0.3206120612 	 19.5468399989 	 17.5350578087 	 21.2759416783 	 14.8864223409 	 22.9555054061 	 12.4731394410 	 24.1683814732
-0.3204920492 	 19.5561906606 	 17.5445901852 	 21.2847836923 	 14.9026872997 	 22.9622738028 	 12.4844655131 	 24.1818502115
-0.3203720372 	 19.5647863874 	 17.5560059702 	 21.2940339652 	 14.9168740177 	 22.9690314281 	 12.4957906117 	 24.1985912504
-0.3202520252 	 19.5734353736 	 17.5659859084 	 21.3019682461 	 14.9333116286 	 22.9773888040 	 12.5071147550 	 24.2153144416
-0.3201320132 	 19.5831823578 	 17.5755829483 	 21.3113858768 	 14.9469547307 	 22.9855573952 	 12.5184379139 	 24.2244753828
-0.3200120012 	 19.5931729318 	 17.5858030636 	 21.3193201174 	 14.9575174537 	 22.9968022637 	 12.5297600948 	 24.2300199271
-0.3198919892 	 19.6018809583 	 17.5957308685 	 21.3264909700 	 14.9728431194 	 23.0059246533 	 12.5410813042 	 24.2355516016
-0.3197719772 	 19.6137945330 	 17.6069165332 	 21.3347714818 	 14.9875731480 	 23.0140586051 	 12.5545849824 	 24.2410704053
-0.3196519652 	 19.6216838799 	 17.6191569376 	 21.3463052350 	 15.0065061803 	 23.0221792180 	 12.5710694777 	 24.2465763315
-0.3195319532 	 19.6300349638 	 17.6292764081 	 21.3533807840 	 15.0254366117 	 23.0285146167 	 12.5875530565 	 24.2534016722
-0.3194119412 	 19.6383338389 	 17.6386087795 	 21.3620313622 	 15.0443644223 	 23.0359500672 	 12.6040357379 	 24.2631845617
-0.3192919292 	 19.6477268263 	 17.6469301851 	 21.3732490616 	 15.0632895918 	 23.0435096934 	 12.6205174894 	 24.2729505341
-0.3191719172 	 19.6560065657 	 17.6588075007 	 21.3818929497 	 15.0810315909 	 23.0505118573 	 12.6369982785 	 24.2826996040
-0.3190519052 	 19.6649449242 	 17.6682652364 	 21.3925365561 	 15.0925323375 	 23.0591229143 	 12.6534781244 	 24.2924317558
-0.3189318932 	 19.6756876418 	 17.6770248042 	 21.3993547609 	 15.1033063651 	 23.0693008126 	 12.6699569773 	 24.3021469840
-0.3188118812 	 19.6845282191 	 17.6870402305 	 21.4090386621 	 15.1121818784 	 23.0773995432 	 12.6864348562 	 24.3118452830
-0.3186918692 	 19.6932753271 	 17.6974803487 	 21.4181513168 	 15.1248481531 	 23.0864220134 	 12.7029117286 	 24.3215266474
-0.3185718572 	 19.7026358427 	 17.7098198385 	 21.4268239700 	 15.1394860175 	 23.0956123966 	 12.7193875618 	 24.3311910717
-0.3184518452 	 19.7102763489 	 17.7201900071 	 21.4344150021 	 15.1552300667 	 23.1038031732 	 12.7358623748 	 24.3408385505
-0.3183318332 	 19.7179718930 	 17.7330803830 	 21.4432703665 	 15.1690507120 	 23.1147254008 	 12.7523361177 	 24.3504690782
-0.3182118212 	 19.7259030888 	 17.7409037522 	 21.4491874283 	 15.1820822774 	 23.1277377021 	 12.7688088095 	 24.3600826497
-0.3180918092 	 19.7346314992 	 17.7529565065 	 21.4579051608 	 15.1982280148 	 23.1397748277 	 12.7852804174 	 24.3696792493
-0.3179717972 	 19.7455968866 	 17.7658918218 	 21.4664227286 	 15.2163553020 	 23.1450307775 	 12.8017509088 	 24.3792588918
-0.3178517852 	 19.7535968576 	 17.7764271859 	 21.4745553599 	 15.2309759000 	 23.1504976955 	 12.8182203024 	 24.3888215618
-0.3177317732 	 19.7623407453 	 17.7884938549 	 21.4813667151 	 15.2459635768 	 23.1573646264 	 12.8346885654 	 24.3983672540
-0.3176117612 	 19.7716350265 	 17.8000914363 	 21.4915162780 	 15.2619114289 	 23.1686947151 	 12.8542731341 	 24.4078959630
-0.3174917492 	 19.7803590400 	 17.8124378322 	 21.5012777083 	 15.2773723731 	 23.1777748171 	 12.8679583814 	 24.4174076836
-0.3173717372 	 19.7891636536 	 17.8240359821 	 21.5099601830 	 15.2900506125 	 23.1884316097 	 12.8840863807 	 24.4248059673
-0.3172517252 	 19.7973571896 	 17.8358071407 	 21.5193213452 	 15.3032210249 	 23.1984506575 	 12.9005499652 	 24.4318966406
-0.3171317132 	 19.8061223815 	 17.8471711708 	 21.5272159441 	 15.3150299175 	 23.2049413586 	 12.9170123409 	 24.4411712993
-0.3170117012 	 19.8155006288 	 17.8577258261 	 21.5356842954 	 15.3273389924 	 23.2139722753 	 12.9334734749 	 24.4504307989
-0.3168916892 	 19.8252600491 	 17.8679257477 	 21.5436702913 	 15.3426187473 	 23.2204563657 	 12.9499333857 	 24.4596751432
-0.3167716772 	 19.8330711783 	 17.8795138346 	 21.5529424693 	 15.3578922581 	 23.2286150839 	 12.9642438375 	 24.4689043072
-0.3166516652 	 19.8427530985 	 17.8915325550 	 21.5610190385 	 15.3696982312 	 23.2346353509 	 12.9761797076 	 24.4781183045
-0.3165316532 	 19.8522268064 	 17.9018954825 	 21.5682651419 	 15.3800603411 	 23.2397109720 	 12.9881153926 	 24.4873171099
-0.3164116412 	 19.8598520917 	 17.9143146680 	 21.5772915853 	 15.3954647110 	 23.2466306907 	 13.0038818346 	 24.4965007372
-0.3162916292 	 19.8693025023 	 17.9272955058 	 21.5846383596 	 15.4107142724 	 23.2565592082 	 13.0226924739 	 24.5062742841
-0.3161716172 	 19.8781620591 	 17.9365660299 	 21.5913337114 	 15.4253431520 	 23.2664759662 	 13.0415037208 	 24.5167759243
-0.3160516052 	 19.8868117557 	 17.9463614422 	 21.5985843333 	 15.4349197961 	 23.2763809468 	 13.0603155583 	 24.5272642944
-0.3159315932 	 19.8954507974 	 17.9588877793 	 21.6060962954 	 15.4500364711 	 23.2832041676 	 13.0791279693 	 24.5330832244
-0.3158115812 	 19.9046499889 	 17.9691069545 	 21.6149650198 	 15.4586771148 	 23.2894912588 	 13.0979409367 	 24.5421908267
-0.3156915692 	 19.9130261065 	 17.9812387688 	 21.6242041981 	 15.4716766748 	 23.2957682191 	 13.1144607222 	 24.5512831975
-0.3155715572 	 19.9218989709 	 17.9919991215 	 21.6312062951 	 15.4852222510 	 23.3043288477 	 13.1309059421 	 24.5609530130
-0.3154515452 	 19.9318445645 	 18.0034889250 	 21.6384978642 	 15.5027106786 	 23.3174172057 	 13.1473497135 	 24.5706726605
-0.3153315332 	 19.9403709364 	 18.0120332722 	 21.6463501892 	 15.5201974007 	 23.3242731485 	 13.1637920547 	 24.5803740068
-0.3152115212 	 19.9490888859 	 18.0225026954 	 21.6534163624 	 15.5376824395 	 23.3348835966 	 13.1802329150 	 24.5900570265
-0.3150915092 	 19.9573822168 	 18.0326549970 	 21.6618402804 	 15.5501757909 	 23.3446111969 	 13.1966723129 	 24.5997217245
-0.3149714971 	 19.9645535695 	 18.0413202080 	 21.6704671132 	 15.5624501674 	 23.3497393659 	 13.2131102148 	 24.6081090353
-0.3148514851 	 19.9731502067 	 18.0485219802 	 21.6790981501 	 15.5746164043 	 23.3536094979 	 13.2277210238 	 24.6152137276
-0.3147314731 	 19.9822069545 	 18.0588353769 	 21.6873904939 	 15.5916653077 	 23.3639673447 	 13.2390201704 	 24.6223045895
-0.3146114611 	 19.9902980106 	 18.0672455234 	 21.6944665742 	 15.6036329444 	 23.3718730850 	 13.2503180830 	 24.6293816031
-0.3144914491 	 20.0004271315 	 18.0778690509 	 21.7021670829 	 15.6126212503 	 23.3768230474 	 13.2685275785 	 24.6364447723
-0.3143714371 	 20.0103812530 	 18.0866946994 	 21.7099118884 	 15.6237835210 	 23.3832363639 	 13.2875615415 	 24.6434941015
-0.3142514251 	 20.0188452511 	 18.0962113777 	 21.7176757257 	 15.6413233915 	 23.3896399873 	 13.3065973378 	 24.6515869346
-0.3141314131 	 20.0268715566 	 18.1055785458 	 21.7251367646 	 15.6588615283 	 23.3976768606 	 13.3256349538 	 24.6619904389
-0.3140114011 	 20.0337423678 	 18.1188127595 	 21.7343879716 	 15.6687965248 	 23.4102348600 	 13.3445575805 	 24.6723813720
-0.3138913891 	 20.0423740483 	 18.1264432208 	 21.7405451586 	 15.6780764156 	 23.4227759564 	 13.3609812713 	 24.6827597365
-0.3137713771 	 20.0522614172 	 18.1342214171 	 21.7496530891 	 15.6873515531 	 23.4340896992 	 13.3774033203 	 24.6931255349
-0.3136513651 	 20.0614274048 	 18.1444312653 	 21.7575555454 	 15.6966219206 	 23.4451700174 	 13.3938236769 	 24.7034787373
-0.3135313531 	 20.0709997405 	 18.1548528579 	 21.7676642590 	 15.7058875117 	 23.4574148820 	 13.4102423589 	 24.7123366108
-0.3134113411 	 20.0802528977 	 18.1659702570 	 21.7750208399 	 15.7154949425 	 23.4669113114 	 13.4266593327 	 24.7211387050
-0.3132913291 	 20.0882180150 	 18.1744576155 	 21.7836950049 	 15.7300429805 	 23.4788531352 	 13.4430745646 	 24.7275002755
-0.3131713171 	 20.0980495640 	 18.1835849569 	 21.7916874351 	 15.7434930698 	 23.4872668241 	 13.4594880724 	 24.7332901916
-0.3130513051 	 20.1063430885 	 18.1948986312 	 21.7989649704 	 15.7557961363 	 23.4956661096 	 13.4758998052 	 24.7434524543
-0.3129312931 	 20.1157134208 	 18.2079009253 	 21.8075329534 	 15.7711820210 	 23.5040509865 	 13.4923097807 	 24.7493666502
-0.3128112811 	 20.1239177364 	 18.2188148190 	 21.8147569534 	 15.7882153125 	 23.5112888699 	 13.5087179652 	 24.7545684360
-0.3126912691 	 20.1322923991 	 18.2272098979 	 21.8253614774 	 15.8027534002 	 23.5190887044 	 13.5242835214 	 24.7597554565
-0.3125712571 	 20.1406319237 	 18.2362512310 	 21.8314282113 	 15.8172894508 	 23.5285564502 	 13.5379208028 	 24.7649277119
-0.3124512451 	 20.1497505755 	 18.2480877836 	 21.8397360392 	 15.8318234700 	 23.5415389792 	 13.5515565443 	 24.7700852028
-0.3123312331 	 20.1603132483 	 18.2575164822 	 21.8478408592 	 15.8463554631 	 23.5537910737 	 13.5651907075 	 24.7752279346
-0.3122112211 	 20.1700508475 	 18.2672849460 	 21.8561616692 	 15.8608853904 	 23.5618408118 	 13.5788232967 	 24.7860203525
-0.3120912091 	 20.1789142237 	 18.2761916791 	 21.8636955737 	 15.8754132571 	 23.5727367036 	 13.5924543020 	 24.7972342351
-0.3119711971 	 20.1867011852 	 18.2883528506 	 21.8712192615 	 15.8891781891 	 23.5800994802 	 13.6060837132 	 24.8011718878
-0.3118511851 	 20.1957403687 	 18.3000465133 	 21.8797515424 	 15.9028893465 	 23.5839188517 	 13.6197115205 	 24.8050961937
-0.3117311731 	 20.2048105195 	 18.3097805647 	 21.8890282210 	 15.9181296740 	 23.5972230057 	 13.6333377138 	 24.8090071580
-0.3116111611 	 20.2131622165 	 18.3212316314 	 21.8962813777 	 15.9335039557 	 23.6052699365 	 13.6469622830 	 24.8129047854
-0.3114911491 	 20.2226698206 	 18.3315058423 	 21.9035822654 	 15.9445575448 	 23.6130736450 	 13.6605852182 	 24.8211078417
-0.3113711371 	 20.2315436861 	 18.3437934033 	 21.9108708795 	 15.9591260200 	 23.6197062946 	 13.6742065091 	 24.8305638564
-0.3112511251 	 20.2409375636 	 18.3551039076 	 21.9198213151 	 15.9755192353 	 23.6252912232 	 13.6878261459 	 24.8400063399
-0.3111311131 	 20.2500762899 	 18.3665775135 	 21.9293214638 	 15.9915608941 	 23.6358955353 	 13.7014441183 	 24.8479751531
-0.3110111011 	 20.2573490510 	 18.3784917692 	 21.9369703001 	 16.0050237739 	 23.6426262502 	 13.7151029401 	 24.8559287167
-0.3108910891 	 20.2640451789 	 18.3885202196 	 21.9434138546 	 16.0162521517 	 23.6532543783 	 13.7313528054 	 24.8658131563
-0.3107710771 	 20.2718624169 	 18.4014357121 	 21.9512243407 	 16.0274767734 	 23.6611225109 	 13.7476043573 	 24.8756837618
-0.3106510651 	 20.2808087366 	 18.4143471662 	 21.9579755384 	 16.0386976312 	 23.6676911254 	 13.7638575718 	 24.8855405252
-0.3105310531 	 20.2893491154 	 18.4262753753 	 21.9644685551 	 16.0508137019 	 23.6755707328 	 13.7801124249 	 24.8953834387
-0.3104110411 	 20.2983678690 	 18.4372854430 	 21.9714409643 	 16.0640494616 	 23.6852996610 	 13.7963689434 	 24.9052124943
-0.3102910291 	 20.3070296541 	 18.4456770865 	 21.9794385381 	 16.0767734885 	 23.6931811909 	 13.8126271032 	 24.9150276842
-0.3101710171 	 20.3145805440 	 18.4554167307 	 21.9889386643 	 16.0930382250 	 23.7010485564 	 13.8288868801 	 24.9248289903
-0.3100510051 	 20.3216875697 	 18.4641579782 	 21.9960399031 	 16.1078923952 	 23.7089017689 	 13.8451483010 	 24.9346164250
-0.3099309931 	 20.3297304088 	 18.4715962283 	 22.0040412513 	 16.1219511180 	 23.7167408153 	 13.8614113248 	 24.9443899704
-0.3098109811 	 20.3377013850 	 18.4815240216 	 22.0107646383 	 16.1351305705 	 23.7245656907 	 13.8776759781 	 24.9522580454
-0.3096909691 	 20.3459363827 	 18.4903569157 	 22.0196471937 	 16.1438418496 	 23.7323763819 	 13.8939422368 	 24.9600365880
-0.3095709571 	 20.3548385046 	 18.4988499399 	 22.0268242789 	 16.1555837340 	 23.7401729005 	 13.9102100767 	 24.9674538515
-0.3094509451 	 20.3628644008 	 18.5090228852 	 22.0353865439 	 16.1686371833 	 23.7479552334 	 13.9264795244 	 24.9748570145
-0.3093309331 	 20.3710059171 	 18.5165550305 	 22.0425307300 	 16.1856024931 	 23.7557233676 	 13.9427505558 	 24.9822460727
-0.3092109211 	 20.3803385008 	 18.5264792693 	 22.0491743457 	 16.2018813367 	 23.7634773145 	 13.9427833592 	 24.9896210219
-0.3090909091 	 20.3890463047 	 18.5336763548 	 22.0566179905 	 16.2159869243 	 23.7706793626 	 13.9473298251 	 24.9969818579
-0.3089708971 	 20.3957778580 	 18.5458101635 	 22.0636827649 	 16.2217893519 	 23.7787157707 	 13.9648639679 	 25.0043285763
-0.3088508851 	 20.4044461546 	 18.5561937452 	 22.0720954379 	 16.2311280865 	 23.7866539259 	 13.9776089256 	 25.0116611730
-0.3087308731 	 20.4127219216 	 18.5676388440 	 22.0797575854 	 16.2424739878 	 23.7941423466 	 13.9928976866 	 25.0189796437
-0.3086108611 	 20.4208826882 	 18.5770009119 	 22.0873926791 	 16.2538126264 	 23.8002773750 	 14.0132579393 	 25.0262839841
-0.3084908491 	 20.4286902143 	 18.5881148015 	 22.0966876733 	 16.2656253343 	 23.8069516888 	 14.0336194464 	 25.0337367013
-0.3083708371 	 20.4361894304 	 18.5977238387 	 22.1049296034 	 16.2767198158 	 23.8136111039 	 14.0462427108 	 25.0438631921
-0.3082508251 	 20.4439665519 	 18.6072371213 	 22.1115693844 	 16.2853210848 	 23.8210425460 	 14.0550631199 	 25.0547789712
-0.3081308131 	 20.4522342651 	 18.6176078620 	 22.1190212966 	 16.2939166280 	 23.8308254792 	 14.0660058223 	 25.0656803269
-0.3080108011 	 20.4609700068 	 18.6259185861 	 22.1266878731 	 16.3054395464 	 23.8363949239 	 14.0876887030 	 25.0765672267
-0.3078907891 	 20.4686831689 	 18.6364341496 	 22.1334529539 	 16.3134326548 	 23.8431357610 	 14.1093745458 	 25.0874396834
-0.3077707771 	 20.4765678978 	 18.6460525208 	 22.1400952383 	 16.3251949049 	 23.8508961762 	 14.1310633103 	 25.0982976646
-0.3076507651 	 20.4840466097 	 18.6573564622 	 22.1473064076 	 16.3406890118 	 23.8588289795 	 14.1527549787 	 25.1091411718
-0.3075307531 	 20.4917106373 	 18.6667992137 	 22.1558025697 	 16.3497592365 	 23.8664435640 	 14.1744495106 	 25.1205591646
-0.3074107411 	 20.4996952451 	 18.6770784923 	 22.1638067864 	 16.3643336611 	 23.8740895999 	 14.1927487289 	 25.1332654346
-0.3072907291 	 20.5065091422 	 18.6846712300 	 22.1688662526 	 16.3742828917 	 23.8817914563 	 14.2102731976 	 25.1439700263
-0.3071707171 	 20.5153768124 	 18.6945137814 	 22.1760282864 	 16.3847988470 	 23.8894786610 	 14.2277968318 	 25.1529481701
-0.3070507051 	 20.5241095012 	 18.7039397278 	 22.1850918834 	 16.4010756980 	 23.8971512091 	 14.2453196513 	 25.1631412766
-0.3069306931 	 20.5320813579 	 18.7118196825 	 22.1928834546 	 16.4173475563 	 23.9048090959 	 14.2628416212 	 25.1735453061
-0.3068106811 	 20.5405495094 	 18.7204802674 	 22.2004403831 	 16.4329810057 	 23.9103476130 	 14.2803627065 	 25.1814963919
-0.3066906691 	 20.5487143920 	 18.7289289888 	 22.2080407927 	 16.4442128494 	 23.9190721567 	 14.2978829269 	 25.1894318738
-0.3065706571 	 20.5576008169 	 18.7397398822 	 22.2149592744 	 16.4526321622 	 23.9267649365 	 14.3154022473 	 25.1976320148
-0.3064506451 	 20.5655736119 	 18.7507540648 	 22.2230284580 	 16.4625310591 	 23.9313200031 	 14.3329206328 	 25.2052559739
-0.3063306331 	 20.5742746317 	 18.7593570564 	 22.2309789550 	 16.4756686346 	 23.9384568111 	 14.3500192285 	 25.2131445827
-0.3062106211 	 20.5823686908 	 18.7691910909 	 22.2387960610 	 16.4904427555 	 23.9464234188 	 14.3663288057 	 25.2210175604
-0.3060906091 	 20.5907755333 	 18.7792587020 	 22.2456825851 	 16.5031665555 	 23.9543777065 	 14.3826397804 	 25.2288749106
-0.3059705971 	 20.5989712924 	 18.7878815840 	 22.2535345494 	 16.5190327868 	 23.9623196762 	 14.3987691447 	 25.2370662191
-0.3058505851 	 20.6053141764 	 18.7970202141 	 22.2652450425 	 16.5319105238 	 23.9702493218 	 14.4139877975 	 25.2445426766
-0.3057305731 	 20.6136712067 	 18.8068576171 	 22.2713858548 	 16.5477930166 	 23.9781666372 	 14.4292050462 	 25.2523530832
-0.3056105611 	 20.6224353078 	 18.8144725617 	 22.2799666807 	 16.5579296491 	 23.9860716245 	 14.4444208786 	 25.2601478435
-0.3054905491 	 20.6310192627 	 18.8234134640 	 22.2875367485 	 16.5652987563 	 23.9933106953 	 14.4596352819 	 25.2679269367
-0.3053705371 	 20.6390193560 	 18.8320836354 	 22.2939014443 	 16.5771199885 	 24.0018445487 	 14.4748482439 	 25.2756903661
-0.3052505251 	 20.6468245181 	 18.8414976287 	 22.3019544496 	 16.5920536976 	 24.0097124817 	 14.4900597518 	 25.2819092606
-0.3051305131 	 20.6543024668 	 18.8500420294 	 22.3101412238 	 16.6095566408 	 24.0175680537 	 14.5052697931 	 25.2879432000
-0.3050105011 	 20.6606495752 	 18.8586743048 	 22.3193655569 	 16.6175521546 	 24.0254112668 	 14.5204783395 	 25.2951513963
-0.3048904890 	 20.6678370940 	 18.8667277357 	 22.3279997161 	 16.6302029739 	 24.0332420986 	 14.5356854099 	 25.3023445938
-0.3047704770 	 20.6753405474 	 18.8780703289 	 22.3357675418 	 16.6440528073 	 24.0410605510 	 14.5458991550 	 25.3095227883
-0.3046504650 	 20.6837557498 	 18.8894030255 	 22.3441210026 	 16.6551974598 	 24.0483347652 	 14.5555735411 	 25.3166859759
-0.3045304530 	 20.6927613781 	 18.8987661312 	 22.3505738358 	 16.6672811927 	 24.0549086570 	 14.5652441710 	 25.3238341449
-0.3044104410 	 20.7011637931 	 18.9083645596 	 22.3562428528 	 16.6814265024 	 24.0620304755 	 14.5749110372 	 25.3309673063
-0.3042904290 	 20.7088348410 	 18.9161433218 	 22.3654606020 	 16.6897315488 	 24.0692059020 	 14.5845741323 	 25.3380854486
-0.3041704170 	 20.7170379210 	 18.9268723654 	 22.3709867699 	 16.6997060584 	 24.0763668978 	 14.5942334488 	 25.3451885677
-0.3040504050 	 20.7261588704 	 18.9370073427 	 22.3783493463 	 16.7108156348 	 24.0838152444 	 14.6038889792 	 25.3530626532
-0.3039303930 	 20.7329795429 	 18.9487457347 	 22.3861141881 	 16.7219181608 	 24.0914775369 	 14.6135407161 	 25.3613692618
-0.3038103810 	 20.7412320546 	 18.9591873979 	 22.3944569362 	 16.7345106652 	 24.0987525855 	 14.6269659832 	 25.3696587512
-0.3036903690 	 20.7478348677 	 18.9669587490 	 22.4023106033 	 16.7513570204 	 24.1089697442 	 14.6426498306 	 25.3760094355
-0.3035703570 	 20.7546388955 	 18.9758666146 	 22.4114521875 	 16.7587400696 	 24.1157712344 	 14.6583327647 	 25.3804786674
