# Phases 	 model 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
-0.5951995200 	 -12.9782980533 	 -15.1454743289 	 -10.3634994123 	 -17.2077599223 	 -6.8191917820 	 -18.6265945092 	 -3.7729813224
-0.5950795080 	 -12.9657981970 	 -15.1352802959 	 -10.3494451624 	 -17.1964919807 	 -6.8024640073 	 -18.6179418404 	 -3.7568795346
-0.5949594959 	 -12.9543139190 	 -15.1248963424 	 -10.3353874498 	 -17.1885068677 	 -6.7857355950 	 -18.6107431849 	 -3.7407809474
-0.5948394839 	 -12.9430832321 	 -15.1140691066 	 -10.3225165341 	 -17.1813790215 	 -6.7690065397 	 -18.6035361970 	 -3.7246855840
-0.5947194719 	 -12.9303330036 	 -15.1027032019 	 -10.3089245990 	 -17.1742432357 	 -6.7534908949 	 -18.5963208909 	 -3.7085934177
-0.5945994599 	 -12.9169867322 	 -15.0922236220 	 -10.2940500340 	 -17.1670995098 	 -6.7411471587 	 -18.5890972586 	 -3.6925044717
-0.5944794479 	 -12.9056900620 	 -15.0786492736 	 -10.2805092623 	 -17.1546749077 	 -6.7288030146 	 -18.5818652917 	 -3.6764187528
-0.5943594359 	 -12.8936532697 	 -15.0667178220 	 -10.2669662490 	 -17.1417333335 	 -6.7164584669 	 -18.5746250047 	 -3.6603362674
-0.5942394239 	 -12.8820092450 	 -15.0546315325 	 -10.2520847259 	 -17.1321689013 	 -6.7041135196 	 -18.5673763892 	 -3.6442570222
-0.5941194119 	 -12.8706302447 	 -15.0441098174 	 -10.2382962722 	 -17.1228670296 	 -6.6917681768 	 -18.5592969430 	 -3.6281810405
-0.5939993999 	 -12.8593675512 	 -15.0344187994 	 -10.2242461429 	 -17.1109474402 	 -6.6794224426 	 -18.5506310490 	 -3.6121082954
-0.5938793879 	 -12.8459981333 	 -15.0235081940 	 -10.2101819505 	 -17.0993997864 	 -6.6670763210 	 -18.5419570604 	 -3.5960388101
-0.5937593759 	 -12.8320192386 	 -15.0122559473 	 -10.1958302151 	 -17.0874802190 	 -6.6547298292 	 -18.5332749593 	 -3.5799725911
-0.5936393639 	 -12.8204479460 	 -15.0001754389 	 -10.1807370893 	 -17.0777224648 	 -6.6383429024 	 -18.5245847552 	 -3.5639096451
-0.5935193519 	 -12.8064949253 	 -14.9908615244 	 -10.1664272412 	 -17.0679562484 	 -6.6208992489 	 -18.5158864485 	 -3.5478499785
-0.5933993399 	 -12.7938743294 	 -14.9751819909 	 -10.1515940738 	 -17.0581993590 	 -6.6043368952 	 -18.5071800395 	 -3.5317936147
-0.5932793279 	 -12.7816828971 	 -14.9622719610 	 -10.1382196240 	 -17.0483984446 	 -6.5882028964 	 -18.4984655286 	 -3.5168317349
-0.5931593159 	 -12.7688966299 	 -14.9503696651 	 -10.1241107672 	 -17.0386068496 	 -6.5696527352 	 -18.4884061337 	 -3.5039037054
-0.5930393039 	 -12.7559974273 	 -14.9395229115 	 -10.1102263829 	 -17.0292715035 	 -6.5511304513 	 -18.4755611182 	 -3.4909780434
-0.5929192919 	 -12.7427859974 	 -14.9271143260 	 -10.0964422525 	 -17.0213698820 	 -6.5344883005 	 -18.4697213688 	 -3.4780547780
-0.5927992799 	 -12.7287064048 	 -14.9149928168 	 -10.0821020239 	 -17.0134589327 	 -6.5220468164 	 -18.4635264828 	 -3.4651338844
-0.5926792679 	 -12.7155099917 	 -14.9039878644 	 -10.0692547542 	 -17.0055386632 	 -6.5096058015 	 -18.4544413372 	 -3.4489747675
-0.5925592559 	 -12.7027279268 	 -14.8935887355 	 -10.0555182987 	 -16.9976090728 	 -6.4971652446 	 -18.4460083538 	 -3.4313174029
-0.5924392439 	 -12.6898442321 	 -14.8838116482 	 -10.0412171384 	 -16.9894699427 	 -6.4847251738 	 -18.4372371403 	 -3.4136640411
-0.5923192319 	 -12.6770575957 	 -14.8723878036 	 -10.0269128953 	 -16.9814502991 	 -6.4722855780 	 -18.4275350620 	 -3.3960146895
-0.5921992199 	 -12.6632688348 	 -14.8611201888 	 -10.0134543877 	 -16.9697357847 	 -6.4554749074 	 -18.4169899228 	 -3.3796410193
-0.5920792079 	 -12.6492294983 	 -14.8500817223 	 -9.9986180255 	 -16.9583025460 	 -6.4372853856 	 -18.4064315470 	 -3.3646343177
-0.5919591959 	 -12.6372811895 	 -14.8382171076 	 -9.9835560076 	 -16.9475103369 	 -6.4200554236 	 -18.3958599340 	 -3.3496307152
-0.5918391839 	 -12.6243715486 	 -14.8272308822 	 -9.9686932521 	 -16.9367075389 	 -6.4034841643 	 -18.3848473455 	 -3.3346302155
-0.5917191719 	 -12.6107595550 	 -14.8162376708 	 -9.9544393917 	 -16.9270784673 	 -6.3907019878 	 -18.3746769944 	 -3.3196328225
-0.5915991599 	 -12.5973295781 	 -14.8053797946 	 -9.9403925710 	 -16.9178654700 	 -6.3779195360 	 -18.3640656669 	 -3.3046385399
-0.5914791479 	 -12.5843377204 	 -14.7942303481 	 -9.9270531372 	 -16.9083798392 	 -6.3651368268 	 -18.3534411002 	 -3.2896473717
-0.5913591359 	 -12.5713209638 	 -14.7822901904 	 -9.9129212061 	 -16.8979669352 	 -6.3523538779 	 -18.3428032939 	 -3.2746593372
-0.5912391239 	 -12.5586638247 	 -14.7720131557 	 -9.8982397266 	 -16.8882070195 	 -6.3395706673 	 -18.3336165317 	 -3.2596744091
-0.5911191119 	 -12.5462270143 	 -14.7589785288 	 -9.8841430344 	 -16.8789117885 	 -6.3261460115 	 -18.3263178521 	 -3.2418523146
-0.5909990999 	 -12.5328758420 	 -14.7483863109 	 -9.8710581242 	 -16.8670719212 	 -6.3085497656 	 -18.3190092798 	 -3.2208448280
-0.5908790879 	 -12.5188477667 	 -14.7374716699 	 -9.8559166229 	 -16.8568377151 	 -6.2909545609 	 -18.3116908280 	 -3.1998423860
-0.5907590759 	 -12.5076346544 	 -14.7263230111 	 -9.8418927247 	 -16.8476618103 	 -6.2751363215 	 -18.3043624873 	 -3.1793976568
-0.5906390639 	 -12.4957371061 	 -14.7151041992 	 -9.8271330818 	 -16.8343931811 	 -6.2614520716 	 -18.2970242482 	 -3.1634186225
-0.5905190519 	 -12.4837703012 	 -14.7038769358 	 -9.8123698001 	 -16.8251560769 	 -6.2457073372 	 -18.2886944947 	 -3.1474430269
-0.5903990399 	 -12.4698551349 	 -14.6922848426 	 -9.7986886369 	 -16.8174696317 	 -6.2298974416 	 -18.2721376233 	 -3.1314708930
-0.5902790279 	 -12.4552395340 	 -14.6801872979 	 -9.7832752589 	 -16.8097738159 	 -6.2168070712 	 -18.2555685216 	 -3.1155021935
-0.5901590159 	 -12.4421997074 	 -14.6695796454 	 -9.7689166141 	 -16.8020686124 	 -6.2034929639 	 -18.2389871623 	 -3.0995369515
-0.5900390039 	 -12.4283611355 	 -14.6583015060 	 -9.7543520989 	 -16.7943540282 	 -6.1864757622 	 -18.2276809514 	 -3.0835751731
-0.5899189919 	 -12.4154308398 	 -14.6476139621 	 -9.7401904455 	 -16.7829383401 	 -6.1694595289 	 -18.2208889173 	 -3.0676168645
-0.5897989799 	 -12.4018562206 	 -14.6377262676 	 -9.7258229343 	 -16.7740641906 	 -6.1524442714 	 -18.2140691902 	 -3.0516620319
-0.5896789679 	 -12.3876223272 	 -14.6253444063 	 -9.7126100286 	 -16.7682452820 	 -6.1387357350 	 -18.2072507486 	 -3.0357106980
-0.5895589559 	 -12.3740528463 	 -14.6137549742 	 -9.6981964861 	 -16.7592864724 	 -6.1254517805 	 -18.2004239241 	 -3.0197628358
-0.5894389439 	 -12.3611904873 	 -14.6024517978 	 -9.6851039626 	 -16.7505954164 	 -6.1121681265 	 -18.1935887297 	 -3.0038184680
-0.5893189319 	 -12.3503615589 	 -14.5916629397 	 -9.6708909562 	 -16.7412229034 	 -6.0988847489 	 -18.1867451570 	 -2.9878776008
-0.5891989199 	 -12.3370864252 	 -14.5813943127 	 -9.6562838256 	 -16.7296439608 	 -6.0856016792 	 -18.1798931976 	 -2.9719402403
-0.5890789079 	 -12.3232691537 	 -14.5699124973 	 -9.6421713042 	 -16.7194204382 	 -6.0723188935 	 -18.1730328647 	 -2.9560063927
-0.5889588959 	 -12.3103716868 	 -14.5571549483 	 -9.6276052248 	 -16.7105649978 	 -6.0581146761 	 -18.1661641496 	 -2.9400760639
-0.5888388839 	 -12.2986897124 	 -14.5458097169 	 -9.6140075315 	 -16.7030811148 	 -6.0417682742 	 -18.1592870512 	 -2.9241492768
-0.5887188719 	 -12.2860274568 	 -14.5328379987 	 -9.5997788581 	 -16.6942345617 	 -6.0254219882 	 -18.1518088507 	 -2.9082260041
-0.5885988599 	 -12.2708588039 	 -14.5193368926 	 -9.5863696278 	 -16.6848117403 	 -6.0090758448 	 -18.1411008313 	 -2.8907435089
-0.5884788479 	 -12.2571556038 	 -14.5075209497 	 -9.5715698436 	 -16.6769164490 	 -5.9927298196 	 -18.1302087686 	 -2.8699831029
-0.5883588359 	 -12.2448419400 	 -14.4981311954 	 -9.5570741812 	 -16.6694455944 	 -5.9763839393 	 -18.1224174759 	 -2.8492282412
-0.5882388239 	 -12.2305506846 	 -14.4864390226 	 -9.5428330917 	 -16.6603431675 	 -5.9600382306 	 -18.1156597272 	 -2.8337437754
-0.5881188119 	 -12.2164710722 	 -14.4740803333 	 -9.5285889144 	 -16.6506838428 	 -5.9436926690 	 -18.1046281284 	 -2.8187744640
-0.5879987999 	 -12.2045792088 	 -14.4617138018 	 -9.5143416559 	 -16.6393752384 	 -5.9273472812 	 -18.0935838606 	 -2.8038084294
-0.5878787879 	 -12.1926274901 	 -14.4515411590 	 -9.4991602142 	 -16.6304332516 	 -5.9156508145 	 -18.0825269354 	 -2.7888456756
-0.5877587759 	 -12.1793107543 	 -14.4404863108 	 -9.4834225269 	 -16.6214816389 	 -5.9045133701 	 -18.0714573531 	 -2.7738862067
-0.5876387639 	 -12.1652991630 	 -14.4279777009 	 -9.4678623219 	 -16.6119593388 	 -5.8933762423 	 -18.0603751139 	 -2.7596534526
-0.5875187519 	 -12.1517267247 	 -14.4173157079 	 -9.4525327012 	 -16.6022564164 	 -5.8822394326 	 -18.0492802181 	 -2.7455377449
-0.5873987399 	 -12.1378718926 	 -14.4040408439 	 -9.4379497165 	 -16.5925447773 	 -5.8688126631 	 -18.0381726658 	 -2.7314250973
-0.5872787279 	 -12.1242592795 	 -14.3913802772 	 -9.4236313865 	 -16.5828244326 	 -5.8535736244 	 -18.0270524691 	 -2.7173154815
-0.5871587159 	 -12.1104494279 	 -14.3803204501 	 -9.4109950047 	 -16.5719247223 	 -5.8383350894 	 -18.0159196049 	 -2.7015475700
