# Time 	 GP Component 	 Full model (GP + Keplerian) 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
2458870.7101451210 	 0.0000000000 	 -6.5518788575 	 -11.2599944039 	 -1.6374824864 	 -15.4292979491 	 3.8361205916 	 -18.0068941890 	 7.5679448872
2458870.9153503263 	 0.0000000000 	 -13.9870384716 	 -17.5296411624 	 -9.9583615826 	 -20.7070021078 	 -4.8739212857 	 -22.6444146033 	 -0.9177776212
2458871.1205555312 	 0.0000000000 	 -19.2391834310 	 -21.6174252299 	 -16.4643584228 	 -24.0257077917 	 -12.7957863264 	 -25.6724247031 	 -9.1603755014
2458871.3257607366 	 0.0000000000 	 -21.8834091543 	 -23.7325305230 	 -20.0444614522 	 -25.8708816077 	 -17.8112079048 	 -27.2812465532 	 -15.6959358786
2458871.5309659420 	 0.0000000000 	 -22.1756344907 	 -24.0997115767 	 -20.1115338174 	 -26.2269896577 	 -17.8629475973 	 -27.7762491064 	 -16.2650836741
2458871.7361711469 	 0.0000000000 	 -20.0429372499 	 -22.5175832462 	 -17.4135776343 	 -24.9194043807 	 -14.4065566590 	 -26.6589639459 	 -12.4711501104
2458871.9413763522 	 0.0000000000 	 -15.8050040297 	 -18.7591661546 	 -12.7131654122 	 -21.7960657574 	 -9.3077765977 	 -23.7857085193 	 -7.1890331630
2458872.1465815576 	 0.0000000000 	 -9.9779794071 	 -13.2438770966 	 -6.6644835415 	 -16.7407607425 	 -3.0156000457 	 -19.3123132319 	 -0.7710474349
2458872.3517867625 	 0.0000000000 	 -3.1764802250 	 -6.5409669018 	 0.2970096933 	 -10.2444932930 	 3.8358732376 	 -12.9472153013 	 6.4753991277
2458872.5569919678 	 0.0000000000 	 4.1257507934 	 0.7426888100 	 7.5873035441 	 -2.9588401456 	 11.0673142635 	 -5.7114209029 	 13.8678847002
2458872.7621971732 	 0.0000000000 	 11.1934418848 	 7.8560135293 	 14.5257335671 	 4.2612759246 	 17.9339798366 	 1.5651743175 	 20.1853554245
2458872.9674023781 	 0.0000000000 	 17.2805582400 	 14.1939872118 	 20.3333612269 	 10.8494451565 	 23.4665634706 	 8.5019843244 	 25.6267727624
2458873.1726075835 	 0.0000000000 	 21.6176046462 	 18.9799718816 	 24.2039670499 	 16.0043760203 	 27.0635702352 	 13.8480260542 	 29.0686605113
2458873.3778127888 	 0.0000000000 	 23.4064097386 	 21.3044577279 	 25.5660156199 	 19.0048491761 	 28.1026072841 	 17.3426118887 	 29.7832930710
2458873.5830179937 	 0.0000000000 	 22.3182622485 	 20.1186917573 	 24.4409171380 	 17.3767138692 	 26.7159755135 	 15.4156081757 	 28.4521432102
2458873.7882231991 	 0.0000000000 	 18.3002683631 	 14.9323697082 	 21.1098969302 	 10.7101015279 	 23.8090203141 	 7.6553733968 	 25.5607115420
2458873.9934284044 	 0.0000000000 	 11.5663119138 	 7.0113676658 	 15.5770694869 	 1.8241454074 	 19.2788372663 	 -1.7478703525 	 21.5746305844
2458874.1986336093 	 0.0000000000 	 3.1084215650 	 -1.9702578043 	 8.0037846155 	 -7.1447086137 	 12.8811047906 	 -10.3006304923 	 15.8925640985
2458874.4038388147 	 0.0000000000 	 -5.5691533871 	 -10.3495213023 	 -0.6279266825 	 -14.6460421187 	 4.7671813990 	 -17.3529677724 	 8.4771916628
2458874.6090440201 	 0.0000000000 	 -13.2307370530 	 -16.9006316994 	 -9.0573997320 	 -20.1920937032 	 -3.9435438767 	 -22.2208895320 	 0.0437461452
2458874.8142492250 	 0.0000000000 	 -18.7744406169 	 -21.2470167997 	 -15.8357755649 	 -23.7425736977 	 -12.0395585255 	 -25.4285107965 	 -8.2919000341
2458875.0194544303 	 0.0000000000 	 -21.6933656778 	 -23.5749210726 	 -19.8342035873 	 -25.7499217942 	 -17.4808560887 	 -27.1404689793 	 -15.0830495540
2458875.2246596357 	 0.0000000000 	 -22.2652714567 	 -24.1374105795 	 -20.2712502520 	 -26.2651976718 	 -18.0717606898 	 -27.7519976309 	 -16.5824280940
2458875.4298648406 	 0.0000000000 	 -20.4110595336 	 -22.7994566194 	 -17.8636248690 	 -25.1551878243 	 -14.9438875134 	 -26.8025481503 	 -13.0273610714
2458875.6350700459 	 0.0000000000 	 -16.3876525855 	 -19.2917747190 	 -13.3672042828 	 -22.2334267537 	 -9.9896390354 	 -24.1791100126 	 -7.8714902964
2458875.8402752508 	 0.0000000000 	 -10.7232594260 	 -13.9286920072 	 -7.4598954313 	 -17.3871413408 	 -3.8370550662 	 -19.9119235212 	 -1.6406327279
2458876.0454804562 	 0.0000000000 	 -4.0142050084 	 -7.3475555659 	 -0.5801910364 	 -11.0084198307 	 2.9572042702 	 -13.6948509962 	 5.4711574805
2458876.2506856616 	 0.0000000000 	 3.2674826556 	 -0.1128893364 	 6.7137991349 	 -3.7741909523 	 10.1419845406 	 -6.5042055622 	 13.0125241225
2458876.4558908665 	 0.0000000000 	 10.3971743178 	 7.0783902390 	 13.7150714896 	 3.5097060492 	 17.1243099490 	 0.7034492764 	 19.4368239768
2458876.6610960718 	 0.0000000000 	 16.6439754385 	 13.5333851313 	 19.7114264827 	 10.1977844135 	 22.8799513490 	 7.7778987316 	 24.9728743939
2458876.8663012772 	 0.0000000000 	 21.2242395610 	 18.5374854138 	 23.8712014372 	 15.5003032510 	 26.7822021783 	 13.3525097798 	 28.6945383784
2458877.0715064821 	 0.0000000000 	 23.3588371259 	 21.2014011754 	 25.5325667578 	 18.8471826387 	 28.1085246175 	 17.0948532367 	 29.8455938890
2458877.2767116874 	 0.0000000000 	 22.5897683662 	 20.4841049038 	 24.7081857594 	 17.9016429902 	 27.0244438956 	 16.1831855898 	 28.7969279999
2458877.4819168928 	 0.0000000000 	 18.9416748587 	 15.7448677956 	 21.5841622775 	 11.7362703701 	 24.2190385218 	 8.8743592457 	 25.8828602494
2458877.6871220977 	 0.0000000000 	 12.4609808026 	 8.0533160254 	 16.3307914940 	 3.0120615008 	 19.8246947994 	 -0.6416750191 	 22.1178274608
2458877.8923273031 	 0.0000000000 	 4.1532878223 	 -0.9051035609 	 8.9478514087 	 -6.1090807143 	 13.7052497363 	 -9.2740827442 	 16.5842988718
2458878.0975325084 	 0.0000000000 	 -4.5736936302 	 -9.4022506227 	 0.3676738363 	 -13.8488659022 	 5.6903450834 	 -16.5833138206 	 9.2626499893
2458878.3027377133 	 0.0000000000 	 -12.4325593455 	 -16.2438696070 	 -8.1225084537 	 -19.6330248553 	 -2.9707639514 	 -21.7276511901 	 0.9792297565
2458878.5079429187 	 0.0000000000 	 -18.2579383666 	 -20.8455157991 	 -15.1763393529 	 -23.4249001529 	 -11.2745472293 	 -25.1718114711 	 -7.3943292874
2458878.7131481241 	 0.0000000000 	 -21.4725824584 	 -23.4056153590 	 -19.5410187458 	 -25.5609892484 	 -17.0946506124 	 -26.9636973577 	 -14.5862945345
2458878.9183533289 	 0.0000000000 	 -22.3189849431 	 -24.1706901813 	 -20.3875945902 	 -26.3103473870 	 -18.2604164858 	 -27.7045023166 	 -16.8020779486
2458879.1235585343 	 0.0000000000 	 -20.7555991747 	 -23.0600187464 	 -18.2699835633 	 -25.3491820914 	 -15.4684774267 	 -27.0381536805 	 -13.5876965622
2458879.3287637397 	 0.0000000000 	 -16.9600042430 	 -19.8136561259 	 -13.9930360215 	 -22.6447822424 	 -10.7009703256 	 -24.5285186767 	 -8.5827429308
2458879.5339689446 	 0.0000000000 	 -11.4709630616 	 -14.6044942679 	 -8.2321556582 	 -17.9999543003 	 -4.6802118186 	 -20.5251032449 	 -2.4636333788
2458879.7391741499 	 0.0000000000 	 -4.8280888267 	 -8.1389570938 	 -1.4426961672 	 -11.7880959288 	 2.1007055421 	 -14.5012812367 	 4.5638555034
2458879.9443793553 	 0.0000000000 	 2.3962374287 	 -0.9601077517 	 5.8438519388 	 -4.6037338402 	 9.2786696948 	 -7.2972834716 	 12.0812239049
2458880.1495845602 	 0.0000000000 	 9.5880798901 	 6.2868078899 	 12.9168261447 	 2.6984657498 	 16.2974961829 	 -0.0786942502 	 18.6321096754
2458880.3547897656 	 0.0000000000 	 15.9831595072 	 12.8581805730 	 19.0695985350 	 9.5144421731 	 22.2508011234 	 6.9977194821 	 24.3650641721
2458880.5599949709 	 0.0000000000 	 20.8211540179 	 18.0657691068 	 23.4952707511 	 14.9660553802 	 26.3979539972 	 12.8278429970 	 28.4190610287
2458880.7652001758 	 0.0000000000 	 23.2528977186 	 21.0537294890 	 25.4664256258 	 18.6032022316 	 28.0822526882 	 16.7795141278 	 29.9065089050
2458880.9704053812 	 0.0000000000 	 22.8381811485 	 20.7688491140 	 24.9456144774 	 18.3133425024 	 27.2432321007 	 16.6981603056 	 28.9600047265
2458881.1756105865 	 0.0000000000 	 19.5343916793 	 16.5136524399 	 22.0444870434 	 12.6699599406 	 24.6162784127 	 9.9927334880 	 26.2501368472
2458881.3808157914 	 0.0000000000 	 13.3574795703 	 9.0612152317 	 17.0365272090 	 4.1471282470 	 20.3509517708 	 0.5320137476 	 22.6631912147
2458881.5860209968 	 0.0000000000 	 5.1896958178 	 0.1907975365 	 9.8806694417 	 -5.0008874170 	 14.4525477991 	 -8.2145229191 	 17.2670333767
2458881.7912262022 	 0.0000000000 	 -3.5866260778 	 -8.4523499892 	 1.3847888142 	 -13.0008119793 	 6.6452495462 	 -15.7359361831 	 10.0840572142
2458881.9964314071 	 0.0000000000 	 -11.6015203812 	 -15.5380560694 	 -7.2049102294 	 -18.9908927341 	 -1.9981704762 	 -21.2154411530 	 1.8082679227
2458882.2016366124 	 0.0000000000 	 -17.6954720558 	 -20.4061036428 	 -14.4684255275 	 -23.0765530436 	 -10.4193552276 	 -24.8006736819 	 -6.5468087179
2458882.4068418178 	 0.0000000000 	 -21.2219245236 	 -23.1932749132 	 -19.2215954321 	 -25.3911035875 	 -16.6590562803 	 -26.8081022661 	 -13.9721069941
2458882.6120470227 	 0.0000000000 	 -22.3341291581 	 -24.1755698286 	 -20.4559711752 	 -26.2900984179 	 -18.4116302564 	 -27.6506213437 	 -16.9933514479
2458882.8172522280 	 0.0000000000 	 -21.0722559975 	 -23.2962463927 	 -18.6607515028 	 -25.5521258155 	 -15.9292958132 	 -27.2650522280 	 -14.0831439608
2458883.0224574334 	 0.0000000000 	 -17.5086905551 	 -20.2881189337 	 -14.5859502689 	 -23.0577346089 	 -11.3676331863 	 -24.8663821051 	 -9.2831435289
2458883.2276626383 	 0.0000000000 	 -12.1895502585 	 -15.2729279596 	 -8.9881343432 	 -18.5877825332 	 -5.4554920577 	 -21.0394973141 	 -3.3182849474
2458883.4328678437 	 0.0000000000 	 -5.6481471323 	 -8.9393200083 	 -2.3074459347 	 -12.5303941770 	 1.2474286504 	 -15.2050818554 	 3.6638061772
2458883.6380730490 	 0.0000000000 	 1.5318102225 	 -1.7801499249 	 4.9539541137 	 -5.4289826315 	 8.3740911609 	 -8.1087445912 	 11.1320341488
2458883.8432782539 	 0.0000000000 	 8.7790290213 	 5.4891670920 	 12.0960092396 	 1.8990899485 	 15.4520467231 	 -0.8156998284 	 17.8535621633
2458884.0484834593 	 0.0000000000 	 15.3012723359 	 12.1722561898 	 18.4095674489 	 8.8064525128 	 21.6139544206 	 6.3369342422 	 23.7384222984
